=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 2 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3473581852 | Datensatz: 3473581852
ERROR | Datei: leipzig_transformed.xml | Zeile: 2 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3570300692 | Datensatz: 3570300692
ERROR | Datei: leipzig_transformed.xml | Zeile: 2 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3570302288 | Datensatz: 3570302288
ERROR | Datei: leipzig_transformed.xml | Zeile: 2 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 357030258X | Datensatz: 357030258X
ERROR | Datei: leipzig_transformed.xml | Zeile: 4 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3453530055 | Datensatz: 3453530055
ERROR | Datei: leipzig_transformed.xml | Zeile: 5 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3473530298 | Datensatz: 3473530298
ERROR | Datei: leipzig_transformed.xml | Zeile: 5 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3499203235 | Datensatz: 3499203235
ERROR | Datei: leipzig_transformed.xml | Zeile: 6 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3551555559 | Datensatz: 3551555559
ERROR | Datei: leipzig_transformed.xml | Zeile: 6 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3791504673 | Datensatz: 3791504673
ERROR | Datei: leipzig_transformed.xml | Zeile: 7 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785537530 | Datensatz: 3785537530
ERROR | Datei: leipzig_transformed.xml | Zeile: 7 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785537980 | Datensatz: 3785537980
ERROR | Datei: leipzig_transformed.xml | Zeile: 7 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785540051 | Datensatz: 3785540051
ERROR | Datei: leipzig_transformed.xml | Zeile: 7 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785540078 | Datensatz: 3785540078
ERROR | Datei: leipzig_transformed.xml | Zeile: 7 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785541864 | Datensatz: 3785541864
ERROR | Datei: leipzig_transformed.xml | Zeile: 8 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3785555350 | Datensatz: 3785555350
ERROR | Datei: leipzig_transformed.xml | Zeile: 9 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3423620153 | Datensatz: 3423620153
ERROR | Datei: leipzig_transformed.xml | Zeile: 10 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00005YH0L | Datensatz: B00005YH0L
ERROR | Datei: leipzig_transformed.xml | Zeile: 12 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3800050897 | Datensatz: 3800050897
ERROR | Datei: leipzig_transformed.xml | Zeile: 13 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3570128032 | Datensatz: 3570128032
ERROR | Datei: leipzig_transformed.xml | Zeile: 13 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3570128040 | Datensatz: 3570128040
ERROR | Datei: leipzig_transformed.xml | Zeile: 13 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3791504673 | Datensatz: 3791504673
ERROR | Datei: leipzig_transformed.xml | Zeile: 13 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3870677376 | Datensatz: 3870677376
ERROR | Datei: leipzig_transformed.xml | Zeile: 14 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3833901101 | Datensatz: 3833901101
ERROR | Datei: leipzig_transformed.xml | Zeile: 15 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3898303039 | Datensatz: 3898303039
ERROR | Datei: leipzig_transformed.xml | Zeile: 15 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3898304590 | Datensatz: 3898304590
ERROR | Datei: leipzig_transformed.xml | Zeile: 17 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 6305610460 | Datensatz: 6305610460
ERROR | Datei: leipzig_transformed.xml | Zeile: 17 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00005OM5L | Datensatz: B00005OM5L
ERROR | Datei: leipzig_transformed.xml | Zeile: 20 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B0000014H7 | Datensatz: B0000014H7
ERROR | Datei: leipzig_transformed.xml | Zeile: 20 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000014H6 | Datensatz: B0000014H6
ERROR | Datei: leipzig_transformed.xml | Zeile: 22 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B0000035SL | Datensatz: B0000035SL
ERROR | Datei: leipzig_transformed.xml | Zeile: 33 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00004ZD57 | Datensatz: B00004ZD57
ERROR | Datei: leipzig_transformed.xml | Zeile: 36 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000A6OB1S | Datensatz: B000A6OB1S
ERROR | Datei: leipzig_transformed.xml | Zeile: 36 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B7VZU6 | Datensatz: B000B7VZU6
ERROR | Datei: leipzig_transformed.xml | Zeile: 37 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00005QTO5 | Datensatz: B00005QTO5
ERROR | Datei: leipzig_transformed.xml | Zeile: 38 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00004LN02 | Datensatz: B00004LN02
ERROR | Datei: leipzig_transformed.xml | Zeile: 40 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00007EBC8 | Datensatz: B00007EBC8
