"product","rating","helpful","reviewdate","user","summary","content"
"B00005RSCH","5","0","2005-06-16","teddyundstrolch","Ein toller Film! Unglaublich gut!","genial!&lt;BR&gt;Ich freue mich schon sehr auf die Live Show dieses Jahr in Ahlen!&lt;BR&gt;Janet und Daimyo Jackson.&lt;BR&gt;Meine Meinung: Nicht verpassen!&lt;P&gt;mfg&lt;P&gt;Michael"
"B000024A70","5","2","2005-03-09","baerchen76","geniale CD, ein wirkliches Best-Of, was den Namen verdient","Auch, wenn ich kein Queen-Experte bin, gehört diese CD völlig zurecht zu meiner Sammlung. &lt;BR&gt;Favoriten zu nennen, fällt mir hier sehr schwer, weil ich hier fast alle Titel erwähnen könnte, dennoch seien hier stellvertretend erwähnt &quot;Bohemian Rhapsody&quot; (unglaublich vielfältiger Song), &quot;We will rock you&quot; und &quot;We are the champions&quot; (allseits bekannt, dürfen auf keiner erfolgreichen Sportveranstaltung fehlen) sowie &quot;Bycicle race&quot; (echte Ohrwurmqualitäten). &lt;BR&gt;Ich denke, dass die Titel-Auswahl dieser ersten Best-Of-CD von Queen gelungen ist, daher auch fünf Sterne."
"B000024RGZ","5","1","2005-09-23","dennis_dinges","Es gibt nicht viel zu sagen","E.I.N.S. ist das wohl beste Album der Frankfurter. Unbedingt KAUFEN!"
"B0009299KQ","5","1","2005-07-07","van69","Kaufen, sofort","So sollte Musik klingen, eine Platte an der es nichts zu mäkeln gibt. Schlicht und einfach sensationell."
"B0000A8UVX","2","1","2004-04-09","mbernreuther","Langweilig!","...auch nicht als schöne Hintergrundmusik. Die Stimmen, die Lieder - alles sehr langweilig. Lohnt sich nicht!"
"B00004TGEJ","5","1","2001-03-27","lacryma666","Einmalig","Mittelalterlicher Gesang meets ELECTRO.... besser könnte diese Verschmlezung nicht sein ... wer auf electronisch,tanzbare Tracks steht...ein Tipp...Kaufen"
"B00002695C","1","1","2002-11-10","decembermoon1","Langweilig und immer irgendwie dasselbe","Diese Stimme ist wirklich maximal für ein Lied erträglich. Alles weitere ist eine Qual für die Ohren. Es ist auf Dauer einfach zu monoton!"
"B000C4JTT2","1","0","2005-11-26","djbassi","&quot;Here I am&quot; im kidsclub","finde die nr sehr schlecht! aber was will man erwarten von einem produzenten der heute technopop und morgen hiphop programmiert!"
"B000024BDU","1","2","2003-02-16","weisserstier","Enttäuschend","Durch Zufall bin ich auf diese Swing-CD gestossen und die Auflistung der Mitwirkenden war vielversprechend. Während die Lieder mit Barbara Streisand und Bono wirklich gelungen sind, waren die anderen eher enttäuschend. Grosse Namen bürgen nicht immer für ein Hörerlebnis."
"B000024BDU","5","3","2002-11-21","bs_grimm","Mein Klassiker","Diese CD erfüllt eigentlich alles, was einen Swing-Fan begeistern sollte. Eine hervoragene Big-Band und dazu mindestens die Stimme von Frank Sinatra. Außergewöhnlich ist an diesem Werk, daß sich Künstler aus anderen Genres perfekt eingliedern.&lt;BR&gt;Wer sich Duets zulegt, der kann auch nicht an Duets II vorbeischauen.&lt;BR&gt;Klasse!"
"B00002MHRD","5","1","2000-02-17","guest","unbedingt anhören!!!!!!!!!!!!","Die songs die ich mir angehört habe haben mich so fasziniert, dass ich mir die cd unbedingt kaufen muss. an alle, die das hier lesen: Hört rein und ihr wisst, was ich meine!!!"
"B0002JEO74","5","0","2005-06-27","norbraak","Top-Sache","Erstklassiger Vorgeschmack auf das nächste Album. Hier hört man die Jungs in einer sehr rauen Form, die man in letzter Zeit nicht mehr hörte. Trotzdem gelungen und fünf Punkte wert!"
"B0006IGIXE","5","0","2005-03-02","chiefkev1","Fast besser als die Alben","Ich finds voll geil... Die Songs die man sowieso schon liebt werden durch die Live Aufnahme nicht getoppt, aber eben die Songs die mir sonst nicht so gut gefielen, klingen auf diesen Live Aufnahmen Hammer. Kaufen und unterstützen..."
"B0009NDARS","5","0","2005-06-18","alexandergross2003","Super!","Toller song von blue der mit italie'nischem rap zu was ganz besonderes wird. aber ich hätte mir ein neues video gewünscht sonst top song!!"
"B0007QCGT0","5","1","2005-03-16","nadia-scaricamazza","Gut, besser, Vanilla Ninja","Ohne Wenn und Aber der nächste Top Hit für diese Ausnahmegruppe. Vanilla Ninja ist ohne Zweifel im Moment das Maß der Dinge!"
"B0007QCGT0","5","1","2005-03-06","piabaur","Der nächste Meilenstein!!!","Mit I know zeigen Vanilla Ninja schon wieder was in ihnen steckt. Schön, dass es diese Gruppe gibt!"
"B000003FOE","5","6","2003-10-23","ilonarudolph","Alle Titel","A Classic Case hatte ich bereits als LP und bin froh, sie endlich&lt;BR&gt;als CD zu haben. Die Tull-Musik ist einzigartig und David Palmer&lt;BR&gt;hat sie hervorragend mit seinem Ochester umgesetzt. Dieses Werk ist ein High-Light; nicht nur jedem Tull-Fan, sondern jedem Klassik-Fan ist es wärmstens zu empfehlen.&lt;BR&gt;Und Tull war schon immer etwas Besonderes! &lt;BR&gt;Danke, Mister Palmer und Danke Mr. Anderson - Hochachtung!"
"3499212110","3","6","2005-11-06","te_x","Lieber in englisch","Ein wirklich schönenes Buch. Doch ich habe auch die englische Version gelesen, in der die Witze viel besser rüber kommen. Alle die 3-4 Jahre Englisch in der Schule hatten, sollten das Buch auf englisch lesen."
"3522110803","4","3","2005-06-22","aschre20","DAS KLEINE GESPENST","Es ist sehr spannend ,innteresant und lustig.&lt;BR&gt;Es hat mir gefallen bis zum Schluss."
"3596802601","5","3","2005-03-02","lavendel19","Potilla und der Mützendieb","Zum hineinsinken, spannend, sehr phantasievoll, ein Buch, das man nicht aus der Hand legen kann, bevor es ausgelesen ist"
"3401081853","5","0","2003-12-30","ankeheinen","Rund um Wackelzähne","Ausgesprochen fantasiereiche Version der Wackelzahnthematik."
"3898309703","4","1","2005-11-12","l_arlt","gut, aber es geht noch besser","bin der Meinung, dass eine Schauspielerin mehr aus diesem Hörbuch hätte machen können, daher nur 4 Sterne. Man hätte die Charactere stimmlich noch verfeiner können."
